id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
99987420@OBS,https://observation.org/observation/99987420,OBS.99987420,HumanObservation,Observations,Aix galericulata,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Mandarin Duck,,1,unknown,undetermined,21.0356,52.2138,WGS84,,15,Europe,Poland,PL,,Poland - Warszawa,,,,3/11/2015,23:16,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.99987420,Stichting Natuurinformatie,CC BY-NC 4.0,8/11/2017
99983635@OBS,https://observation.org/observation/99983635,OBS.99983635,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,10,unknown,undetermined,22.79265404,53.12082938,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,3/10/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.99983635,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
99983630@OBS,https://observation.org/observation/99983630,OBS.99983630,HumanObservation,Observations,Alces alces,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,Elk,,1,unknown,undetermined,22.79425621,53.11817055,WGS84,,10,Europe,Poland,PL,,Poland - Narwianski NP,,,,3/10/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.99983630,Stichting Natuurinformatie,CC BY-NC 4.0,3/14/2015
99983169@OBS,https://observation.org/observation/99983169,OBS.99983169,HumanObservation,Observations,Spinulum annotinum,species,Plantae,LYCOPODIACEAE,Plantae|LYCOPODIACEAE,Interrupted Clubmoss,,50,unknown,undetermined,22.93,53.01,WGS84,WGS84 coordinates generalized with formula: `coord = floor(coord * 100) / 100`,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,3/10/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.99983169,Stichting Natuurinformatie,CC BY-NC 4.0,3/15/2015
98611955@OBS,https://observation.org/observation/98611955,OBS.98611955,HumanObservation,Observations,Mergus merganser,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Common Merganser,,2,unknown,undetermined,21.0293,52.2147,WGS84,,10,Europe,Poland,PL,,Poland - Warszawa,,,,3/10/2015,15:06,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98611955,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
98611953@OBS,https://observation.org/observation/98611953,OBS.98611953,HumanObservation,Observations,Sciurus vulgaris,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Animalia|SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Eurasian Red Squirrel,,4,unknown,undetermined,21.0303,52.2147,WGS84,,10,Europe,Poland,PL,,Poland - Warszawa,,,,3/10/2015,15:05,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98611953,Stichting Natuurinformatie,CC BY-NC 4.0,3/30/2015
98611951@OBS,https://observation.org/observation/98611951,OBS.98611951,HumanObservation,Observations,Corvus cornix,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,2,unknown,undetermined,21.0106,52.2504,WGS84,,5,Europe,Poland,PL,,Poland - Warszawa,,,,3/9/2015,12:56,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98611951,Stichting Natuurinformatie,CC BY-NC 4.0,8/11/2017
98601371@OBS,https://observation.org/observation/98601371,OBS.98601371,HumanObservation,Observations,Aglais urticae,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Tortoiseshell,,1,unknown,undetermined,22.92873859,53.00983791,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,3/10/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98601371,Stichting Natuurinformatie,CC BY-NC 4.0,4/7/2015
98570200@OBS,https://observation.org/observation/98570200,OBS.98570200,HumanObservation,Observations,"Sarcoscypha coccinea sl, incl. austriaca",multispecies,Fungi,SARCOSCYPHACEAE,Fungi|SARCOSCYPHACEAE,,,1,unknown,undetermined,22.9286027,53.01512211,WGS84,,10,Europe,Poland,PL,,Poland - Podlaskie,,,,3/8/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98570200,Stichting Natuurinformatie,CC BY-NC 4.0,6/18/2019
98527237@OBS,https://observation.org/observation/98527237,OBS.98527237,HumanObservation,Observations,Corvus cornix,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,unknown,undetermined,16.9567,52.4075,WGS84,,5,Europe,Poland,PL,,Poland - Wielkopolskie,,,,3/8/2015,11:23,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98527237,Stichting Natuurinformatie,CC BY-NC 4.0,3/8/2015
